"Number","county","fips"
"1","AL, Autauga","01001"
"2","AL, Baldwin","01003"
"3","AL, Barbour","01005"
"4","AL, Bibb","01007"
"5","AL, Blount","01009"
"6","AL, Bullock","01011"
"7","AL, Butler","01013"
"8","AL, Calhoun","01015"
"9","AL, Chambers","01017"
"10","AL, Cherokee","01019"
"11","AL, Chilton","01021"
"12","AL, Choctaw","01023"
"13","AL, Clarke","01025"
"14","AL, Clay","01027"
"15","AL, Cleburne","01029"
"16","AL, Coffee","01031"
"17","AL, Colbert","01033"
"18","AL, Conecuh","01035"
"19","AL, Coosa","01037"
"20","AL, Covington","01039"
"21","AL, Crenshaw","01041"
"22","AL, Cullman","01043"
"23","AL, Dale","01045"
"24","AL, Dallas","01047"
"25","AL, De Kalb","01049"
"26","AL, Elmore","01051"
"27","AL, Escambia","01053"
"28","AL, Etowah","01055"
"29","AL, Fayette","01057"
"30","AL, Franklin","01059"
"31","AL, Geneva","01061"
"32","AL, Greene","01063"
"33","AL, Hale","01065"
"34","AL, Henry","01067"
"35","AL, Houston","01069"
"36","AL, Jackson","01071"
"37","AL, Jefferson","01073"
"38","AL, Lamar","01075"
"39","AL, Lauderdale","01077"
"40","AL, Lawrence","01079"
"41","AL, Lee","01081"
"42","AL, Limestone","01083"
"43","AL, Lowndes","01085"
"44","AL, Macon","01087"
"45","AL, Madison","01089"
"46","AL, Marengo","01091"
"47","AL, Marion","01093"
"48","AL, Marshall","01095"
"49","AL, Mobile","01097"
"50","AL, Monroe","01099"
"51","AL, Montgomery","01101"
"52","AL, Morgan","01103"
"53","AL, Perry","01105"
"54","AL, Pickens","01107"
"55","AL, Pike","01109"
"56","AL, Randolph","01111"
"57","AL, Russell","01113"
"58","AL, St. Clair","01115"
"59","AL, Shelby","01117"
"60","AL, Sumter","01119"
"61","AL, Talladega","01121"
"62","AL, Tallapoosa","01123"
"63","AL, Tuscaloosa","01125"
"64","AL, Walker","01127"
"65","AL, Washington","01129"
"66","AL, Wilcox","01131"
"67","AL, Winston","01133"
"68","AK, Aleutians East","02013"
"69","AK, Aleutians West","02016"
"70","AK, Anchorage","02020"
"71","AK, Bethel","02050"
"72","AK, Bristol Bay","02060"
"73","AK, Denali","02068"
"74","AK, Dillingham","02070"
"75","AK, Fairbanks North Star","02090"
"76","AK, Haines","02100"
"77","AK, Juneau","02110"
"78","AK, Kenai Peninsula","02122"
"79","AK, Ketchikan Gateway","02130"
"80","AK, Kodiak Island","02150"
"81","AK, Lake and Peninsula","02164"
"82","AK, Matanuska-Susitna","02170"
"83","AK, Nome","02180"
"84","AK, North Slope","02185"
"85","AK, Northwest Arctic","02188"
"86","AK, Prince of Wales-Outer Ketchikan","02201"
"87","AK, Sitka","02220"
"88","AK, Skagway-Hoonah-Angoon","02232"
"89","AK, Southeast Fairbanks","02240"
"90","AK, Valdez-Cordova","02261"
"91","AK, Wade Hampton","02270"
"92","AK, Wrangell-Petersburg","02280"
"93","AK, Yakutat","02282"
"94","AK, Yukon-Koyukuk","02290"
"95","AZ, Apache","04001"
"96","AZ, Cochise","04003"
"97","AZ, Coconino","04005"
"98","AZ, Gila","04007"
"99","AZ, Graham","04009"
"100","AZ, Greenlee","04011"
"101","AZ, La Paz","04012"
"102","AZ, Maricopa","04013"
"103","AZ, Mohave","04015"
"104","AZ, Navajo","04017"
"105","AZ, Pima","04019"
"106","AZ, Pinal","04021"
"107","AZ, Santa Cruz","04023"
"108","AZ, Yavapai","04025"
"109","AZ, Yuma","04027"
"110","AR, Arkansas","05001"
"111","AR, Ashley","05003"
"112","AR, Baxter","05005"
"113","AR, Benton","05007"
"114","AR, Boone","05009"
"115","AR, Bradley","05011"
"116","AR, Calhoun","05013"
"117","AR, Carroll","05015"
"118","AR, Chicot","05017"
"119","AR, Clark","05019"
"120","AR, Clay","05021"
"121","AR, Cleburne","05023"
"122","AR, Cleveland","05025"
"123","AR, Columbia","05027"
"124","AR, Conway","05029"
"125","AR, Craighead","05031"
"126","AR, Crawford","05033"
"127","AR, Crittenden","05035"
"128","AR, Cross","05037"
"129","AR, Dallas","05039"
"130","AR, Desha","05041"
"131","AR, Drew","05043"
"132","AR, Faulkner","05045"
"133","AR, Franklin","05047"
"134","AR, Fulton","05049"
"135","AR, Garland","05051"
"136","AR, Grant","05053"
"137","AR, Greene","05055"
"138","AR, Hempstead","05057"
"139","AR, Hot Spring","05059"
"140","AR, Howard","05061"
"141","AR, Independence","05063"
"142","AR, Izard","05065"
"143","AR, Jackson","05067"
"144","AR, Jefferson","05069"
"145","AR, Johnson","05071"
"146","AR, Lafayette","05073"
"147","AR, Lawrence","05075"
"148","AR, Lee","05077"
"149","AR, Lincoln","05079"
"150","AR, Little River","05081"
"151","AR, Logan","05083"
"152","AR, Lonoke","05085"
"153","AR, Madison","05087"
"154","AR, Marion","05089"
"155","AR, Miller","05091"
"156","AR, Mississippi","05093"
"157","AR, Monroe","05095"
"158","AR, Montgomery","05097"
"159","AR, Nevada","05099"
"160","AR, Newton","05101"
"161","AR, Ouachita","05103"
"162","AR, Perry","05105"
"163","AR, Phillips","05107"
"164","AR, Pike","05109"
